Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.",Latin America & Caribbean,Lower middle income,NI,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Reproductive Health Survey (RHS), 2006/2007","Living Standards Measurement Study Survey (LSMS), 2009",,2011,,2012,2001
NER,Niger,Niger,Republic of Niger,NE,CFA franc,"Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.",Sub-Saharan Africa,Low income,NE,2006,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2007",,2004-2008,2002,2012,2005
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,"Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology.",Sub-Saharan Africa,Lower middle income,NG,2010,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1971–98,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010",,2013,,2012,2005
NRS,Non-resource rich Sub-Saharan Africa countries,Non-resource rich Sub-Saharan Africa countries,Non-resource rich Sub-Saharan Africa countries,,,Non-resource rich Sub-Saharan Africa countries aggregate.,,,6X,,,,,,,,,,,,,,,,,,,,,
NLS,"Non-resource rich Sub-Saharan Africa countries, of which landlocked","Non-resource rich Sub-Saharan Africa countries, of which landlocked","Non-resource rich Sub-Saharan Africa countries, of which landlocked",,,"Non-resource rich Sub-Saharan Africa countries, of which landlocked aggregate.",,,6L,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.,South Asia,Lower middle income,PK,2005/2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2008",,2010,2006,2012,2008
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,PG,1998,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,1989,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Study Survey (LSMS), 1996","Integrated household survey (IHS), 2009/10",,,,2012,2005
RRS,Resource rich Sub-Saharan Africa countries,Resource rich Sub-Saharan Africa countries,Resource rich Sub-Saharan Africa countries,,,Resource rich Sub-Saharan Africa countries aggregate.,,,R6,,,,,,,,,,,,,,,,,,,,,
RSN,"Resource rich Sub-Saharan Africa countries, of which non-oil exporters","Resource rich Sub-Saharan Africa countries, of which non-oil exporters","Resource rich Sub-Saharan Africa countries, of which non-oil exporters",,,"Resource rich Sub-Saharan Africa countries, of which non-oil exporters aggregate.",,,6O,,,,,,,,,,,,,,,,,,,,,
RSO,"Resource rich Sub-Saharan Africa countries, of which oil exporters","Resource rich Sub-Saharan Africa countries, of which oil exporters","Resource rich Sub-Saharan Africa countries, of which oil exporters",,,"Resource rich Sub-Saharan Africa countries, of which oil exporters aggregate.",,,O6,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,"Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011.",Sub-Saharan Africa,Low income,RW,2011,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1994,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Malaria Indicator Survey (MIS), 2013","Integrated household survey (IHS), 2011",,2008,,2012,2000
WSM,Samoa,Samoa,Samoa,WS,Samoan tala,Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa.,East Asia & Pacific,Lower middle income,WS,2002,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2009",,,2009,,2012,
STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,ST,São Tomé and Principe dobra,"Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.",Sub-Saharan Africa,Lower middle income,ST,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2008/09","Priority survey (PS), 2009/10",,2011/12,,2012,1993
SEN,Senegal,Senegal,Republic of Senegal,SN,CFA franc,,Sub-Saharan Africa,Lower middle income,SN,1999,1987,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Continuous Demographic and Health Survey (DHS), 2013/14; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013/14","Priority survey (PS), 2010/11",,2013,2010,2012,2002
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.",Sub-Saharan Africa,Low income,SL,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2013; Malaria Indicator Survey (MIS), 2013","Integrated household survey (IHS), 2011",,,,2002,2005
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,National accounts data have been revised from 2007 to 2013 based on IMF reports.,East Asia & Pacific,Lower middle income,SB,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2009,,"Integrated household survey (IHS), 2005/06",,2012/13,,2012,
SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available. However, data reported for Sudan include South Sudan unless otherwise noted. Though limited data are available in the WDI database for South Sudan, additional data are available from South Sudan's National Bureau of Statistics (http://ssnbs.org/).",Sub-Saharan Africa,Lower middle income,SS,2009,,,IDA,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,2008,,"Expenditure survey/budget survey (ES/BS), 2009",,,,,
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,,South Asia,Lower middle income,LK,2002,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013/ 2014,2010,2012,2005
LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,LC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1968 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",Yes,2007,,2008,2005
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,VC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,,,Yes,,,2012,1995
DSS,Sub-Saharan Africa (IDA-eligible countries),Sub-Saharan Africa (IDA-eligible countries),Sub-Saharan Africa (IDA-eligible countries),D6,,Sub-Saharan Africa (IDA-eligible countries) aggregate.,,,D6,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,"Total population data are reported separately for Sudan and South Sudan; see specific notes for other demographic-related series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan include South Sudan unless otherwise noted.",Sub-Saharan Africa,Lower middle income,SD,1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.,1996,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Sudan Household Health Survey (SHHS), 2010","Expenditure survey/budget survey (ES/BS), 2009",,2013/ 2014,2001,2011,2005. Includes South Sudan.
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Low income,TJ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2012","Living Standards Measurement Study Survey (LSMS), 2009",,2013,,2000,2006
TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,,Sub-Saharan Africa,Low income,TZ,Original chained constant price data are rescaled.,2001,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013/14","Expenditure survey/budget survey (ES/BS), 2011/12",,2007/08,2007,2012,2002
GMB,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.",Sub-Saharan Africa,Low income,GM,2004,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010",,,2004,2011,2000
TMP,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,U.S. dollar,"Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",East Asia & Pacific,Lower middle income,TP,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology.,,,,,Special trade system,,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2009/10","Living Standards Measurement Study Survey (LSMS), 2007",,2010. Population and Housing Census.,,2005,2004
TGO,Togo,Togo,Republic of Togo,TG,CFA franc,"April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",Sub-Saharan Africa,Low income,TG,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2013","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011",,2011/2012,,2012,2002
TON,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,"Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.",East Asia & Pacific,Upper middle income,TO,2010/11,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2006,,2013 national accounts estimates are based on IMF reports.,,,,2012,
TUV,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,"Based on data from the IMF, World Bank and government official statistics, national accounts data have been revised from 2006 onward. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.",East Asia & Pacific,Upper middle income,TV,2005,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology.,,,,,General trade system,,General Data Dissemination System (GDDS),2012,,2013 national accounts estimates are based on IMF reports.,,,,2008,
UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,"Fiscal year end: June 30; reporting period for national accounts data: FY. In 2011, the Bureau of Statistics revised national accounts series for 1998 onward; the base year for constant price series changed to 2001/02.",Sub-Saharan Africa,Low income,UG,2001/02,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"HIV/AIDS Indicator Survey (AIS), 2011; Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2009/10",,2008/ 2009,2000,2012,2002
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek sum,,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,1997,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1990–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,,1989,"Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2011",Yes,,,,2005
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,"Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",East Asia & Pacific,Lower middle income,VU,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2007",2013 national accounts estimates are based on IMF reports.,,2007,,2011,
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,"Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.",East Asia & Pacific,Lower middle income,VN,2010,,Value added at producer prices (VAP),Blend,,Country uses the 1993 System of National Accounts methodology.,1991,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010/11","Integrated household survey (IHS), 2010",Yes,2011/ 2012,2010,2011,2005
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward.",Middle East & North Africa,Lower middle income,RY,2007,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology.,1990–96,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2005",,,2006,2012,2005
ZMB,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"National accounts data have rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",Sub-Saharan Africa,Lower middle income,ZM,1994,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1990–92,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010",,2010. Population and Housing Census.,,2011,2002
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",Sub-Saharan Africa,Low income,ZW,2009,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,"1991, 1998",2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2010/11","Integrated household survey (IHS), 2011/12",,,,2012,2002
